result_version,id,category,message,intent_hint,status_code,ok,confirm_required,intent,run_id,latency_ms,tested_at,response,error
v20260213-rerun,DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,,86c46b18-5bcc-4964-885d-b467efdcb717,6226,,您好，我在。您可以直接告诉我需求，比如下单、查订单、取消订单、改地址、投诉建议。,
v20260213-rerun,DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,,058b3a31-f184-428c-83ea-a87db4327572,6136,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,,0ac1bd54-ace0-417c-84cb-6158903be8f0,6117,,请提供要改址的订单号。,
v20260213-rerun,DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,,c5af7141-47f8-41f6-814b-89dad9fbf94e,6149,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,,79b5dc88-7207-449e-911f-b41bdcb1cba7,6118,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,,af45b874-facd-4de6-b572-985d755f446c,6140,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,,9a847cd5-26f0-473e-a450-c18c86f5f0bb,6132,,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
v20260213-rerun,DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,,9f49f0c8-bdd9-41d5-a491-e24de7fb66fa,6111,,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
v20260213-rerun,DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,,209a5043-fdbf-44b9-9917-1066abf8b105,6144,,您当前没有订单记录。,
v20260213-rerun,DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,,0a3260c4-f384-4434-9704-331584df8b16,6149,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ011,能力与流程,你这边是24小时都能下单吗，夜里会怎么安排？,CLARIFY_OR_POLICY,200,True,False,,5d164b6c-05da-4881-ab1e-3fa3b12fb730,6136,,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
v20260213-rerun,DQ012,能力与流程,我比较着急，你回答能不能短一点，别太官方。,CLARIFY_OR_POLICY,200,True,False,,ad27bbba-294f-4ccc-9c65-04500aa82149,6127,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ013,能力与流程,如果我说错了服务类型，你会提醒我改吗？,CLARIFY_OR_POLICY,200,True,False,,b9cf449e-055e-4fd5-8510-7b4614cd296e,6162,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ014,能力与流程,我有时候会发语音转文字，错别字挺多，你能看懂吗？,CLARIFY_OR_POLICY,200,True,False,,8fd754c0-c9a0-499d-97c3-7531a96cddb4,6118,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ015,能力与流程,你是机器人我知道，但回复能不能别那么模板化。,CLARIFY_OR_POLICY,200,True,False,,afdf5867-06b3-4c3c-8e4d-200a1765c499,6132,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ016,能力与流程,先告诉我：你现在能做、不能做的各三条就行。,CLARIFY_OR_POLICY,200,True,False,,569f7f53-8432-48b9-a5c4-b2ac9e343652,6148,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ017,下单-瓶装配送,我要叫气，今天能送吗？,ORDER_CREATE,200,True,False,,57dd4860-f145-41b2-b935-896d440bc2b6,6151,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ018,下单-瓶装配送,帮我送两瓶15公斤的，越快越好。,ORDER_CREATE,200,True,False,,82180c3e-e9ad-48db-97ec-8f6c2cccfcc6,6135,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ019,下单-瓶装配送,我这边后厨快没气了，先来一瓶45kg顶着用。,ORDER_CREATE,200,True,False,,4917e8b0-cc6a-4966-a0d0-5f515ad0403e,6147,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ020,下单-瓶装配送,15kg来2瓶，地址先用我默认的。,ORDER_CREATE,200,True,False,,f346e751-a545-4023-b374-96067d873031,6136,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ021,下单-瓶装配送,给我送个小瓶，5kg那种，一瓶就行。,ORDER_CREATE,200,True,False,,bc64c802-533e-4e8d-82fe-dfcfccaf636d,6123,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ022,下单-瓶装配送,晚上十点还能送不？我要两瓶15kg。,ORDER_CREATE,200,True,False,,311dc233-f0ab-4207-8102-1dfa4e821561,6115,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ023,下单-瓶装配送,明早能送吗？大概9点到11点那段。,ORDER_CREATE,200,True,False,,ef1119ed-ee31-45ef-a649-ead8db628cfb,6146,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ024,下单-瓶装配送,我就一句话：送煤气来。你继续问我吧。,ORDER_CREATE,200,True,False,,9c13b7cd-f9f1-484f-a31a-b321c4548365,6132,,您要办理的是“瓶装配送”。好的，请问您要哪种规格：5kg、15kg 还是 45kg？,
v20260213-rerun,DQ025,下单-瓶装配送,我赶时间，能走加急就走加急。,ORDER_CREATE,200,True,False,,8e96cb5f-f0b2-4f4f-a3da-904f170bbb28,6123,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ026,下单-瓶装配送,备注一下：到门口别按铃，打电话就行。,ORDER_CREATE,200,True,False,,54d2bb3e-9f63-4067-94c0-f7b48bc2d0e6,6132,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ027,下单-瓶装配送,联系人改成王师傅，电话13800138000。,ORDER_CREATE,200,True,False,,f2c72218-c582-424a-8fa8-7fb1e8e11e5f,6116,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ028,下单-瓶装配送,我手机快没电了，你先把需要我确认的都一次性说完。,ORDER_CREATE,200,True,False,,426e5eb9-5d4d-43b5-ae9a-a61e7c522bef,6120,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ029,下单-瓶装配送,下单但先别创建，我想先看看订单内容有没有错。,ORDER_CREATE,200,True,False,,f51ba032-b808-4f1e-863e-209c8b4e866b,6124,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ030,下单-瓶装配送,我要两罐气，型号我不懂，你给我推荐最常用的。,ORDER_CREATE,200,True,False,,225eac76-2ba5-4817-9920-fa3bc866f96a,6120,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ031,下单-瓶装配送,ASAP下单，地址不变，电话不变，直接帮我补完流程。,ORDER_CREATE,200,True,False,,e61aaa7d-6afe-41cf-935f-392e07616cc3,6137,,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
v20260213-rerun,DQ032,下单-瓶装配送,今天19-21点要能到，能安排就下。,ORDER_CREATE,200,True,False,,f2754d83-7e74-46ff-923d-4bb2dace78e4,6124,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ033,下单-瓶装配送,我要开发票，抬头是‘上海禾川餐饮有限公司’。,ORDER_CREATE,200,True,False,,c0e9d035-481d-4c77-82e6-8fc8b4884c77,6111,,"可以开票。您这是“新下单时开票”还是“历史订单补开票”？
如果是新下单，我继续帮您补齐下单信息；如果是历史订单，请把订单号发我。",
v20260213-rerun,DQ034,下单-瓶装配送,开票税号我等会发，你先把其他信息问完。,ORDER_CREATE,200,True,False,,2a22514e-50a8-4ee7-bdae-bf46d205ea1b,6119,,"可以开票。您这是“新下单时开票”还是“历史订单补开票”？
如果是新下单，我继续帮您补齐下单信息；如果是历史订单，请把订单号发我。",
v20260213-rerun,DQ035,下单-瓶装配送,送到仓库北门，司机到了给我打电话。,ORDER_CREATE,200,True,False,,cad893af-6510-4470-a289-1e54385af318,6114,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ036,下单-瓶装配送,我这个单子不加急，正常排就行。,ORDER_CREATE,200,True,False,,72a8116e-03c8-4c01-b726-e62183849325,6123,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ037,下单-瓶装配送,先帮我算个总价，我确认后你再下。,ORDER_CREATE,200,True,False,,0bfd0518-f2e7-4de2-af3b-50ac7663691e,6128,,您当前还没有可查询的订单。,
v20260213-rerun,DQ038,下单-瓶装配送,我想‘尽快’，但别太晚，超过21点就明天吧。,ORDER_CREATE,200,True,False,,058b168c-2632-42fb-8022-19406f17433a,6145,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ039,下单-瓶装配送,我要1瓶45kg，最好今天下午能到。,ORDER_CREATE,200,True,False,,aeaee50b-2679-4997-9c8f-2f9e9ae72246,6137,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ040,下单-瓶装配送,你先问我缺什么，不要一上来给我长表格。,ORDER_CREATE,200,True,False,,494c9d64-23a0-490a-88dc-79ffe544e4e7,6149,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ041,下单-瓶装配送,下单信息你帮我复述一下，我怕说漏了。,ORDER_CREATE,200,True,False,,b4e39a09-6049-476a-8ef8-491d6425d07e,6122,,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
v20260213-rerun,DQ042,下单-瓶装配送,现在下，时间你按系统最早可达安排。,ORDER_CREATE,200,True,False,,7a127123-20c8-4890-a905-df80956ea8fa,6142,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ043,下单-瓶装配送,送气+开票一起办，别让我分两次说。,ORDER_CREATE,200,True,False,,aee31e67-e052-4ca9-80b9-ce9760983706,6124,,"可以开票。您这是“新下单时开票”还是“历史订单补开票”？
如果是新下单，我继续帮您补齐下单信息；如果是历史订单，请把订单号发我。",
v20260213-rerun,DQ044,下单-瓶装配送,来两瓶15kg，备注‘从后门进，前厅忙’。,ORDER_CREATE,200,True,False,,b1c761aa-cea3-4474-b65c-3e080c915982,6115,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ045,下单-瓶装配送,如果今天排不上，你给我一个明早最早时间。,ORDER_CREATE,200,True,False,,8813d4c4-052c-490f-9cd7-389b89bf447f,6133,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ046,下单-瓶装配送,我就一句：给我来气。你来主导提问。,ORDER_CREATE,200,True,False,,9491c0c9-b5e1-4329-928d-71a7885cb414,6132,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ047,下单-瓶装配送,数量先按1瓶，你再问我要不要改。,ORDER_CREATE,200,True,False,,082a8d07-f748-4805-a0ff-36c23eb70f75,6140,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ048,下单-瓶装配送,我地址有门禁，备注加一句‘到门口电话联系’。,ORDER_CREATE,200,True,False,,18e81017-2014-4ad2-828d-e1d0b24341bb,6131,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ049,下单-瓶装配送,给我下单，联系人用李姐，别用账号默认名字。,ORDER_CREATE,200,True,False,,412eea16-d2dd-4975-826e-a4d37ad06433,6143,,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
v20260213-rerun,DQ050,下单-瓶装配送,我这个是公司用气，发票必须开普票。,ORDER_CREATE,200,True,False,,fb6b9369-1255-4df5-9850-598cafdaf867,6124,,"可以开票。您这是“新下单时开票”还是“历史订单补开票”？
如果是新下单，我继续帮您补齐下单信息；如果是历史订单，请把订单号发我。",
v20260213-rerun,DQ051,下单-瓶装配送,你先把关键字段确认好，再说创建订单。,ORDER_CREATE,200,True,False,,2a714b7e-aa28-4f49-b867-bd612ab4a40a,6149,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ052,下单-瓶装配送,15公斤两瓶，别加急，明天下午。,ORDER_CREATE,200,True,False,,47bfc24c-c02b-465a-9367-b3a870ae9cb5,6123,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ053,下单-瓶装配送,我想边聊边改参数，别每次都重头再来。,ORDER_CREATE,200,True,False,,95457280-97f8-4ff3-98eb-4c7c6289de6d,6101,,我在这边可以直接帮您办理。您可以说“下单15kg两瓶”“查最近订单”或“取消某笔订单”。您现在想先处理哪一项？,
v20260213-rerun,DQ054,下单-瓶装配送,下单后如果发现地址错了，你要提醒我改址时限。,ORDER_CREATE,200,True,False,,1dc9819c-4bda-4e0c-9039-222b99465f06,6125,,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
