result_version,id,category,message,intent_hint,status_code,ok,confirm_required,intent,run_id,latency_ms,tested_at,response,error
v20260213-fix2,DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,b7737c6c-2925-42b4-b7f5-19bce240ceba,5683,2026-02-14T00:23:28,您好，我在。您可以直接告诉我需求，比如下单、查订单、取消订单、改地址、投诉建议。,
v20260213-fix2,DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,986714fa-52de-4918-81cb-799fd3ed711d,545,2026-02-14T00:23:28,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260213-fix2,DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,8c5d041e-a4a4-4915-a750-1a221f95bdf9,550,2026-02-14T00:23:29,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260213-fix2,DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,66464b37-50a1-46f2-9373-b64f66c278c1,575,2026-02-14T00:23:29,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix2,DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,0db6070d-5cb6-49b3-9264-1a61fc4e89ee,553,2026-02-14T00:23:30,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix2,DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,4d361104-dafe-4d9f-b4ea-6205994d7bd1,524,2026-02-14T00:23:30,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260213-fix2,DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,bccd90a2-1b5e-4198-8cd6-43f9dda32ea6,546,2026-02-14T00:23:31,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260213-fix2,DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,CREATE_ORDER,ed83ceda-2967-4cdc-840c-0ec9f756ffd3,557,2026-02-14T00:23:31,没问题，我来一步步帮您下单。先确认服务类型：瓶装配送、换瓶、安装、安检、报修或配件。,
v20260213-fix2,DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,QUERY_ORDER,cbcd0817-c8eb-4579-8a2c-3d18ba4f2c6d,556,2026-02-14T00:23:32,目前还没有查到订单记录。要不要我现在帮您下第一单？,
v20260213-fix2,DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,e1c33cad-bd07-4b34-98cb-69aa5e84990d,540,2026-02-14T00:23:32,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260213-fix2,DQ011,能力与流程,你这边是24小时都能下单吗，夜里会怎么安排？,CLARIFY_OR_POLICY,200,True,False,CREATE_ORDER,4ecc5982-fcfd-4d20-bec4-ce1d644ce4cf,556,2026-02-14T00:23:33,没问题，我来一步步帮您下单。先确认服务类型：瓶装配送、换瓶、安装、安检、报修或配件。,
v20260213-fix2,DQ012,能力与流程,我比较着急，你回答能不能短一点，别太官方。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,61f17373-79b3-4eb1-beda-d9cf5472c511,541,2026-02-14T00:23:34,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260213-fix2,DQ013,能力与流程,如果我说错了服务类型，你会提醒我改吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,89fbca8e-7e4f-427c-abdc-f90331fd0f43,568,2026-02-14T00:23:34,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix2,DQ014,能力与流程,我有时候会发语音转文字，错别字挺多，你能看懂吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,a53439c6-fe46-4a6e-984a-c67dae40c2ca,570,2026-02-14T00:23:35,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix2,DQ015,能力与流程,你是机器人我知道，但回复能不能别那么模板化。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,0e8fc959-76c7-4e75-9a9a-198010b0c716,556,2026-02-14T00:23:35,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix2,DQ016,能力与流程,先告诉我：你现在能做、不能做的各三条就行。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,c5c5b7c2-04d1-4b06-8ee1-5229c23502d0,555,2026-02-14T00:23:36,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260213-fix2,DQ017,下单-瓶装配送,我要叫气，今天能送吗？,ORDER_CREATE,200,True,False,CREATE_ORDER,8df66c18-26ae-4064-8547-f063ab65cf36,584,2026-02-14T00:23:36,好的，您要办理的是“瓶装配送”。收到。请问您要哪种规格：5kg、15kg 还是 45kg？,
v20260213-fix2,DQ018,下单-瓶装配送,帮我送两瓶15公斤的，越快越好。,ORDER_CREATE,200,True,False,UNKNOWN,68729b51-8e23-4f3d-a54d-f9e92509ed35,570,2026-02-14T00:23:37,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix2,DQ019,下单-瓶装配送,我这边后厨快没气了，先来一瓶45kg顶着用。,ORDER_CREATE,200,True,False,UNKNOWN,0070d69b-1d89-400d-b1a3-dee2ddb1ff9f,566,2026-02-14T00:23:38,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260213-fix2,DQ020,下单-瓶装配送,15kg来2瓶，地址先用我默认的。,ORDER_CREATE,200,True,False,UNKNOWN,e4168b44-da09-4db1-b0ac-10e3d9d64202,559,2026-02-14T00:23:38,"您当前默认地址是：测试地址1号（测试账号 123）
共 2 个地址。
如需切换默认地址，告诉我“把地址ID 12 设为默认地址”即可。",
v20260213-fix2,DQ021,下单-瓶装配送,给我送个小瓶，5kg那种，一瓶就行。,ORDER_CREATE,200,True,False,UNKNOWN,02098071-0a0e-4a46-9fde-86a296ac27d4,574,2026-02-14T00:23:39,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
