id,category,message,intent_hint,status_code,ok,confirm_required,run_id,latency_ms,response,error
DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,88653eaa-8fbe-49cf-a29f-24befea89ed0,2759,您好，我在。您可以直接告诉我需求，比如下单、查订单、取消订单、改地址、投诉建议。,
DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,abbaa0b3-f968-4bd6-858e-40d62230c79c,2602,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,20716f3c-f852-42b8-b04e-787449e90161,2547,请提供要改址的订单号。,
DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,c41030ce-a2d5-463a-b7b5-f6065d597d29,2605,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,e0996d0b-a26d-43d9-af20-ed7af310c846,2619,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,88add6a1-9181-428e-9bd2-fcae7c693ae8,2577,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,8bf28be3-9d4b-44ae-92a2-4d748c8bb51f,2642,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,009a3e8b-676a-4048-8909-d765133637f5,2577,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,3aea1d93-4812-4a34-a1d8-44c2b2443aeb,2589,"最近订单如下：
1. LPG202602130450082691 | 安装 | 已支付
2. LPG202602091518079603 | 瓶装配送 | 已过期
3. LPG202602091311254174 | 瓶装配送 | 已支付
4. LPG202602091223417608 | 瓶装配送 | 已支付
5. LPG202602091135071866 | 配件 | 已支付",
DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,6ddab04b-bc3b-4898-bc0c-13f8f25c96cb,2635,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ011,能力与流程,你这边是24小时都能下单吗，夜里会怎么安排？,CLARIFY_OR_POLICY,200,True,False,1a45b15a-788f-4f93-8c39-5910a85d9910,2654,当然可以，我来帮您下单。请问您要办理哪类服务：瓶装配送、换瓶、安装、安检、报修或配件？,
DQ012,能力与流程,我比较着急，你回答能不能短一点，别太官方。,CLARIFY_OR_POLICY,200,True,False,709eb8a6-4848-464c-9830-dec0327bc944,2566,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ013,能力与流程,如果我说错了服务类型，你会提醒我改吗？,CLARIFY_OR_POLICY,200,True,False,970e95df-b158-4203-858f-6f934d2f76ec,2590,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ014,能力与流程,我有时候会发语音转文字，错别字挺多，你能看懂吗？,CLARIFY_OR_POLICY,200,True,False,595cda96-389e-4339-9fb1-9f45314e8749,2598,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ015,能力与流程,你是机器人我知道，但回复能不能别那么模板化。,CLARIFY_OR_POLICY,200,True,False,5983ff32-eb82-4969-9b70-7bc5803900f3,2559,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ016,能力与流程,先告诉我：你现在能做、不能做的各三条就行。,CLARIFY_OR_POLICY,200,True,False,a120de62-269d-4464-8d1c-651e31fa8693,2581,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ017,下单-瓶装配送,我要叫气，今天能送吗？,ORDER_CREATE,200,True,False,2c2a96d2-5621-4761-8d54-f94f09fd05dd,2661,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ018,下单-瓶装配送,帮我送两瓶15公斤的，越快越好。,ORDER_CREATE,200,True,False,146541f9-de95-4ca6-84a5-fed16a646581,2566,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ019,下单-瓶装配送,我这边后厨快没气了，先来一瓶45kg顶着用。,ORDER_CREATE,200,True,False,790abec2-bf55-49fb-88a0-652bcfa82793,2553,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ020,下单-瓶装配送,15kg来2瓶，地址先用我默认的。,ORDER_CREATE,200,True,False,044bfbf3-5fed-4d59-bf92-2a6c6dca2cfa,2695,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ021,下单-瓶装配送,给我送个小瓶，5kg那种，一瓶就行。,ORDER_CREATE,200,True,False,1b966fbd-c35d-4499-9c4c-baa4d422e37d,2577,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ022,下单-瓶装配送,晚上十点还能送不？我要两瓶15kg。,ORDER_CREATE,200,True,False,1d747084-6758-4c38-b4b7-f4e560735973,2566,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ023,下单-瓶装配送,明早能送吗？大概9点到11点那段。,ORDER_CREATE,200,True,False,51d6d0c2-3b28-49a4-bf4a-e3c56aac23d7,2646,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ024,下单-瓶装配送,我就一句话：送煤气来。你继续问我吧。,ORDER_CREATE,200,True,False,717e1e61-53b1-4087-81b3-42876cb5cb9b,2595,您要办理的是“瓶装配送”。好的，请问您要哪种规格：5kg、15kg 还是 45kg？,
DQ025,下单-瓶装配送,我赶时间，能走加急就走加急。,ORDER_CREATE,200,True,False,ffdccf9f-4d8f-4292-907b-c7ecfc3093e9,2574,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ026,下单-瓶装配送,备注一下：到门口别按铃，打电话就行。,ORDER_CREATE,200,True,False,4552dabb-087a-4d6d-8537-2d55f3695797,2579,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ027,下单-瓶装配送,联系人改成王师傅，电话13800138000。,ORDER_CREATE,200,True,False,91f74b62-2dfd-4c28-a50a-be943cf73a5f,2614,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ028,下单-瓶装配送,我手机快没电了，你先把需要我确认的都一次性说完。,ORDER_CREATE,200,True,False,7ea39364-e460-4d19-a4e7-a4f250a80fe5,2553,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ029,下单-瓶装配送,下单但先别创建，我想先看看订单内容有没有错。,ORDER_CREATE,200,True,False,f65026cc-fb2d-40b5-850d-4d049cf05a61,2695,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
DQ030,下单-瓶装配送,我要两罐气，型号我不懂，你给我推荐最常用的。,ORDER_CREATE,200,True,False,ebec8120-9681-4ff6-af04-2e6b771577a5,2595,我可以直接帮您完成下单、支付、查单、取消订单、改地址和投诉建议。请直接告诉我您要办理什么。,
