result_version,session_mode,id,category,message,intent_hint,status_code,ok,confirm_required,intent,model_source,run_id,latency_ms,tested_at,response,error
v20260228-cloud-probe,isolated,DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,885fb556-4f41-4b5f-9d5f-d8267f4426c3,2136,2026-03-01T02:03:52,我在这边。您再具体说一句场景，我会直接给您可执行的处理建议。,
v20260228-cloud-probe,isolated,DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,20a367f6-b2e5-4bf9-afee-0509d3a64e5c,1184,2026-03-01T02:03:54,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、改密码、地址增改删和购物车加减结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260228-cloud-probe,isolated,DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,cloud,901b6d72-95f7-46b4-ae62-7097e290c186,1276,2026-03-01T02:03:55,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260228-cloud-probe,isolated,DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,c0c240d1-6855-4bb8-9c58-bf0f8991e938,2871,2026-03-01T02:03:58,我在这边。您再具体说一句场景，我会直接给您可执行的处理建议。,
v20260228-cloud-probe,isolated,DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,2264de49-dc11-469c-a73e-40b4e66b4738,2619,2026-03-01T02:04:01,我在这边。您再具体说一句场景，我会直接给您可执行的处理建议。,
v20260228-cloud-probe,isolated,DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,8d502e66-aa53-41b0-8ace-11fae5dd1f4f,1196,2026-03-01T02:04:02,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、改密码、地址增改删和购物车加减结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260228-cloud-probe,isolated,DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,MODIFY_ORDER,cloud,f4c683f7-9136-4514-85d7-6413af52a55a,1185,2026-03-01T02:04:03,按规则，服务开始前至少 1 小时才能改址。把订单号发我，我先帮您判断是否可改。,
v20260228-cloud-probe,isolated,DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,CREATE_ORDER,cloud,e13496fc-12ca-43e2-bbca-51d605e83634,1212,2026-03-01T02:04:05,我来帮您下单，先确认一下您要办哪类服务：瓶装配送、换瓶、安装、安检、报修，还是配件？,
v20260228-cloud-probe,isolated,DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,QUERY_ORDER,cloud,ac530782-5d4c-4459-a1ee-c1d1fece19d2,704,2026-03-01T02:04:05,"给您查到这些订单：
1. LPG202602281318596511 | 瓶装配送 | 已过期 | 预计 2026-02-28 14:18
2. LPG202602281309438349 | 配件 | 已过期 | 预计 2026-02-28 14:09
3. LPG202602281309383644 | 配件 | 已过期 | 预计 2026-02-28 14:09
4. LPG202602270646399896 | 配件 | 已过期 | 预计 2026-02-28 09:00
5. LPG202602261647108144 | 瓶装配送 | 已过期 | 预计 2026-02-26 17:47
要看某一单详情，直接把订单号发我。",
v20260228-cloud-probe,isolated,DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,ffa88dcb-f424-4f33-8d9d-19340a796f69,1243,2026-03-01T02:04:07,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、改密码、地址增改删和购物车加减结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
