result_version,id,category,message,intent_hint,status_code,ok,confirm_required,intent,run_id,latency_ms,tested_at,response,error
v20260225-r2,DQ001,能力与流程,在吗？我第一次用这个系统，你大概能帮我干啥？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4124,2026-02-25T08:13:22,您好，我在。您可以直接告诉我需求，比如下单、查订单、取消订单、改地址、投诉建议。,
v20260225-r2,DQ002,能力与流程,我不太会点网页，你能像真人客服那样一步一步带我吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4120,2026-02-25T08:13:26,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260225-r2,DQ003,能力与流程,你这边是只管下单，还是投诉、改地址这些都能办？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4116,2026-02-25T08:13:30,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ004,能力与流程,我是门店店长，平时最常用哪些功能你先给我讲讲。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4130,2026-02-25T08:13:34,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ005,能力与流程,我说话可能比较碎，你能自己整理重点吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4126,2026-02-25T08:13:38,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ006,能力与流程,我要是只说‘帮我处理一下’，你会先问我什么？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4125,2026-02-25T08:13:42,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260225-r2,DQ007,能力与流程,先别下单，我想知道取消规则和改址规则，简单说重点。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4119,2026-02-25T08:13:46,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ008,能力与流程,你会不会直接给我下单？我希望先确认再动手。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4121,2026-02-25T08:13:51,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ009,能力与流程,你查订单是按订单号，还是按我这个账号就能查？,CLARIFY_OR_POLICY,200,True,False,QUERY_ORDER,90122825-f2c8-4333-8fa9-951a2726695a,4124,2026-02-25T08:13:55,"给您查到这些订单：
1. LPG202602191134369119 | 瓶装配送 | 已过期 | 预计 2026-02-19 12:34
2. LPG202602191121149000 | 瓶装配送 | 已过期 | 预计 2026-02-19 12:21
3. LPG202602190457274950 | 瓶装配送 | 已过期 | 预计 2026-02-20 09:00
4. LPG2026021909451105 | 瓶装配送 | 已过期 | 预计 2026-02-19 15:00
5. LPG2026020111001104 | 瓶装配送 | 已预约 | 预计 2026-02-17 11:00
要看某一单详情，直接把订单号发我。",
v20260225-r2,DQ010,能力与流程,我不想每次都重复地址电话，你能默认带出来吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4115,2026-02-25T08:13:59,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260225-r2,DQ011,能力与流程,你这边是24小时都能下单吗，夜里会怎么安排？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4127,2026-02-25T08:14:03,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ012,能力与流程,我比较着急，你回答能不能短一点，别太官方。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4125,2026-02-25T08:14:07,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260225-r2,DQ013,能力与流程,如果我说错了服务类型，你会提醒我改吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4121,2026-02-25T08:14:11,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ014,能力与流程,我有时候会发语音转文字，错别字挺多，你能看懂吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4124,2026-02-25T08:14:15,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ015,能力与流程,你是机器人我知道，但回复能不能别那么模板化。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4129,2026-02-25T08:14:19,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ016,能力与流程,先告诉我：你现在能做、不能做的各三条就行。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4133,2026-02-25T08:14:24,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260225-r2,DQ017,下单-瓶装配送,我要叫气，今天能送吗？,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4120,2026-02-25T08:14:28,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ018,下单-瓶装配送,帮我送两瓶15公斤的，越快越好。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4119,2026-02-25T08:14:32,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ019,下单-瓶装配送,我这边后厨快没气了，先来一瓶45kg顶着用。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4140,2026-02-25T08:14:36,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ020,下单-瓶装配送,15kg来2瓶，地址先用我默认的。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4122,2026-02-25T08:14:40,"您当前默认地址是：广东省（李华 123）
共 4 个地址。
如需切换默认地址，告诉我“把地址ID 12 设为默认地址”即可。",
v20260225-r2,DQ021,下单-瓶装配送,给我送个小瓶，5kg那种，一瓶就行。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4129,2026-02-25T08:14:44,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ022,下单-瓶装配送,晚上十点还能送不？我要两瓶15kg。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4168,2026-02-25T08:14:48,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ023,下单-瓶装配送,明早能送吗？大概9点到11点那段。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4134,2026-02-25T08:14:52,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ024,下单-瓶装配送,我就一句话：送煤气来。你继续问我吧。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4124,2026-02-25T08:14:57,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ025,下单-瓶装配送,我赶时间，能走加急就走加急。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4133,2026-02-25T08:15:01,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ026,下单-瓶装配送,备注一下：到门口别按铃，打电话就行。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4129,2026-02-25T08:15:05,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ027,下单-瓶装配送,联系人改成王师傅，电话13800138000。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4130,2026-02-25T08:15:09,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ028,下单-瓶装配送,我手机快没电了，你先把需要我确认的都一次性说完。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4113,2026-02-25T08:15:13,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ029,下单-瓶装配送,下单但先别创建，我想先看看订单内容有没有错。,ORDER_CREATE,200,True,False,QUERY_ORDER,90122825-f2c8-4333-8fa9-951a2726695a,4125,2026-02-25T08:15:17,"给您查到这些订单：
1. LPG202602191134369119 | 瓶装配送 | 已过期 | 预计 2026-02-19 12:34
2. LPG202602191121149000 | 瓶装配送 | 已过期 | 预计 2026-02-19 12:21
3. LPG202602190457274950 | 瓶装配送 | 已过期 | 预计 2026-02-20 09:00
4. LPG2026021909451105 | 瓶装配送 | 已过期 | 预计 2026-02-19 15:00
5. LPG2026020111001104 | 瓶装配送 | 已预约 | 预计 2026-02-17 11:00
要看某一单详情，直接把订单号发我。",
v20260225-r2,DQ030,下单-瓶装配送,我要两罐气，型号我不懂，你给我推荐最常用的。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4124,2026-02-25T08:15:21,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ031,下单-瓶装配送,ASAP下单，地址不变，电话不变，直接帮我补完流程。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4140,2026-02-25T08:15:25,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ032,下单-瓶装配送,今天19-21点要能到，能安排就下。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4151,2026-02-25T08:15:30,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ033,下单-瓶装配送,我要开发票，抬头是‘上海禾川餐饮有限公司’。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4124,2026-02-25T08:15:34,可以开票。我先记下您的开票要求；如果您是新下单，我会把发票信息一并写进备注里，后续只需要继续补齐下单信息即可。,
v20260225-r2,DQ034,下单-瓶装配送,开票税号我等会发，你先把其他信息问完。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4132,2026-02-25T08:15:38,可以开票。我先记下您的开票要求；如果您是新下单，我会把发票信息一并写进备注里，后续只需要继续补齐下单信息即可。,
v20260225-r2,DQ035,下单-瓶装配送,送到仓库北门，司机到了给我打电话。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4134,2026-02-25T08:15:42,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ036,下单-瓶装配送,我这个单子不加急，正常排就行。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4135,2026-02-25T08:15:46,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ037,下单-瓶装配送,先帮我算个总价，我确认后你再下。,ORDER_CREATE,200,True,False,QUERY_ORDER,90122825-f2c8-4333-8fa9-951a2726695a,4159,2026-02-25T08:15:50,"订单 LPG202602191134369119 费用明细：
1) 小计：¥240.00
2) 加急费：¥0.00
3) 总计：¥240.00
如果您想看其他订单，直接告诉我订单号即可。",
v20260225-r2,DQ038,下单-瓶装配送,我想‘尽快’，但别太晚，超过21点就明天吧。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4166,2026-02-25T08:15:55,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ039,下单-瓶装配送,我要1瓶45kg，最好今天下午能到。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4138,2026-02-25T08:15:59,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ040,下单-瓶装配送,你先问我缺什么，不要一上来给我长表格。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4144,2026-02-25T08:16:03,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ041,下单-瓶装配送,下单信息你帮我复述一下，我怕说漏了。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4114,2026-02-25T08:16:07,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ042,下单-瓶装配送,现在下，时间你按系统最早可达安排。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4136,2026-02-25T08:16:11,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ043,下单-瓶装配送,送气+开票一起办，别让我分两次说。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4134,2026-02-25T08:16:15,可以开票。我先记下您的开票要求；如果您是新下单，我会把发票信息一并写进备注里，后续只需要继续补齐下单信息即可。,
v20260225-r2,DQ044,下单-瓶装配送,来两瓶15kg，备注‘从后门进，前厅忙’。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4141,2026-02-25T08:16:19,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ045,下单-瓶装配送,如果今天排不上，你给我一个明早最早时间。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4136,2026-02-25T08:16:23,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ046,下单-瓶装配送,我就一句：给我来气。你来主导提问。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4133,2026-02-25T08:16:28,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ047,下单-瓶装配送,数量先按1瓶，你再问我要不要改。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4145,2026-02-25T08:16:32,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ048,下单-瓶装配送,我地址有门禁，备注加一句‘到门口电话联系’。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4149,2026-02-25T08:16:36,我可以帮您处理账户和地址。您可以说“看我的资料”“新增地址”或“把地址ID 12 设为默认”。,
v20260225-r2,DQ049,下单-瓶装配送,给我下单，联系人用李姐，别用账号默认名字。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4164,2026-02-25T08:16:40,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ050,下单-瓶装配送,我这个是公司用气，发票必须开普票。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4129,2026-02-25T08:16:44,可以开票。我先记下您的开票要求；如果您是新下单，我会把发票信息一并写进备注里，后续只需要继续补齐下单信息即可。,
v20260225-r2,DQ051,下单-瓶装配送,你先把关键字段确认好，再说创建订单。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4140,2026-02-25T08:16:48,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ052,下单-瓶装配送,15公斤两瓶，别加急，明天下午。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4149,2026-02-25T08:16:52,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ053,下单-瓶装配送,我想边聊边改参数，别每次都重头再来。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4127,2026-02-25T08:16:57,我可以直接帮您处理。您告诉我现在最想办哪件事就行，比如“下单两瓶15kg”或“查最近订单”。,
v20260225-r2,DQ054,下单-瓶装配送,下单后如果发现地址错了，你要提醒我改址时限。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4136,2026-02-25T08:17:01,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ055,下单-安装安检报修换瓶,我要预约安装，明天下午有空档吗？,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4119,2026-02-25T08:17:05,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ056,下单-安装安检报修换瓶,做个安检，本周内都行，你帮我排。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4139,2026-02-25T08:17:09,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ057,下单-安装安检报修换瓶,报修，灶台点火老是失败。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4140,2026-02-25T08:17:13,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ058,下单-安装安检报修换瓶,我要换瓶，15kg一瓶，旧瓶要回收。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4123,2026-02-25T08:17:17,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ059,下单-安装安检报修换瓶,安装都能装啥？先给我几个常见项目。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4167,2026-02-25T08:17:21,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
v20260225-r2,DQ060,下单-安装安检报修换瓶,安检可以做后厨全套检查吗，我们是餐饮店。,ORDER_CREATE,200,True,False,UNKNOWN,90122825-f2c8-4333-8fa9-951a2726695a,4128,2026-02-25T08:17:26,当前处于只读兜底模式，暂时不能执行写操作。您可以先完成模型配置，我就能继续为您代操作；现在我仍可帮您查询和答疑。,
